mask,day,case,slice,fold,has_ann,slice_max
case156/day10/slice_0055_mask.npy,day10,case156,55,0,False,144
case156/day10/slice_0053_mask.npy,day10,case156,53,0,False,144
case156/day10/slice_0022_mask.npy,day10,case156,22,0,False,144
case156/day10/slice_0032_mask.npy,day10,case156,32,0,False,144
case156/day10/slice_0020_mask.npy,day10,case156,20,0,False,144
case156/day10/slice_0017_mask.npy,day10,case156,17,0,False,144
case156/day10/slice_0043_mask.npy,day10,case156,43,0,False,144
case156/day10/slice_0059_mask.npy,day10,case156,59,0,False,144
case156/day10/slice_0001_mask.npy,day10,case156,1,0,False,144
case156/day10/slice_0023_mask.npy,day10,case156,23,0,False,144
case156/day10/slice_0049_mask.npy,day10,case156,49,0,False,144
case156/day10/slice_0051_mask.npy,day10,case156,51,0,False,144
case156/day10/slice_0035_mask.npy,day10,case156,35,0,False,144
case156/day10/slice_0040_mask.npy,day10,case156,40,0,False,144
case156/day10/slice_0033_mask.npy,day10,case156,33,0,False,144
case156/day10/slice_0031_mask.npy,day10,case156,31,0,False,144
case156/day10/slice_0016_mask.npy,day10,case156,16,0,False,144
case156/day10/slice_0006_mask.npy,day10,case156,6,0,False,144
case156/day10/slice_0005_mask.npy,day10,case156,5,0,False,144
case156/day10/slice_0025_mask.npy,day10,case156,25,0,False,144
case156/day10/slice_0028_mask.npy,day10,case156,28,0,False,144
case156/day10/slice_0007_mask.npy,day10,case156,7,0,False,144
case156/day10/slice_0036_mask.npy,day10,case156,36,0,False,144
case156/day10/slice_0002_mask.npy,day10,case156,2,0,False,144
case156/day10/slice_0052_mask.npy,day10,case156,52,0,False,144
case156/day10/slice_0050_mask.npy,day10,case156,50,0,False,144
case156/day10/slice_0047_mask.npy,day10,case156,47,0,False,144
case156/day10/slice_0057_mask.npy,day10,case156,57,0,False,144
case156/day10/slice_0021_mask.npy,day10,case156,21,0,False,144
case156/day10/slice_0038_mask.npy,day10,case156,38,0,False,144
case156/day10/slice_0003_mask.npy,day10,case156,3,0,False,144
