mask,day,case,slice,fold,has_ann,slice_max
case156/day10/slice_0140_mask.npy,day10,case156,140,0,False,144
case156/day10/slice_0136_mask.npy,day10,case156,136,0,False,144
case156/day10/slice_0142_mask.npy,day10,case156,142,0,False,144
case156/day10/slice_0134_mask.npy,day10,case156,134,0,False,144
case156/day10/slice_0143_mask.npy,day10,case156,143,0,False,144
case156/day10/slice_0138_mask.npy,day10,case156,138,0,False,144
case156/day10/slice_0135_mask.npy,day10,case156,135,0,False,144
case156/day10/slice_0139_mask.npy,day10,case156,139,0,False,144
case156/day10/slice_0137_mask.npy,day10,case156,137,0,False,144
case156/day10/slice_0141_mask.npy,day10,case156,141,0,False,144
case156/day0/slice_0056_mask.npy,day0,case156,56,0,False,144
case156/day11/slice_0127_mask.npy,day11,case156,127,0,False,144
case156/day11/slice_0125_mask.npy,day11,case156,125,0,False,144
case156/day11/slice_0126_mask.npy,day11,case156,126,0,False,144
case156/day11/slice_0128_mask.npy,day11,case156,128,0,False,144
case32/day17/slice_0124_mask.npy,day17,case32,124,0,False,144
case32/day17/slice_0123_mask.npy,day17,case32,123,0,False,144
case32/day17/slice_0121_mask.npy,day17,case32,121,0,False,144
case32/day17/slice_0122_mask.npy,day17,case32,122,0,False,144
case32/day19/slice_0121_mask.npy,day19,case32,121,0,False,144
case32/day19/slice_0122_mask.npy,day19,case32,122,0,False,144
case32/day19/slice_0120_mask.npy,day19,case32,120,0,False,144
case32/day20/slice_0123_mask.npy,day20,case32,123,0,False,144
case32/day20/slice_0121_mask.npy,day20,case32,121,0,False,144
case32/day20/slice_0122_mask.npy,day20,case32,122,0,False,144
case32/day20/slice_0120_mask.npy,day20,case32,120,0,False,144
case32/day0/slice_0058_mask.npy,day0,case32,58,0,False,144
case32/day0/slice_0120_mask.npy,day0,case32,120,0,False,144
case32/day18/slice_0127_mask.npy,day18,case32,127,0,False,144
case32/day18/slice_0125_mask.npy,day18,case32,125,0,False,144
case32/day18/slice_0126_mask.npy,day18,case32,126,0,False,144
case7/day0/slice_0121_mask.npy,day0,case7,121,0,False,144
case7/day0/slice_0122_mask.npy,day0,case7,122,0,False,144
case7/day0/slice_0120_mask.npy,day0,case7,120,0,False,144
case88/day36/slice_0121_mask.npy,day36,case88,121,0,False,144
case108/day13/slice_0123_mask.npy,day13,case108,123,0,False,144
case133/day23/slice_0121_mask.npy,day23,case133,121,0,False,144
case133/day23/slice_0120_mask.npy,day23,case133,120,0,False,144
case63/day26/slice_0121_mask.npy,day26,case63,121,0,False,144
case63/day20/slice_0040_mask.npy,day20,case63,40,0,False,144
case63/day20/slice_0120_mask.npy,day20,case63,120,0,False,144
case63/day0/slice_0124_mask.npy,day0,case63,124,0,False,144
case63/day18/slice_0120_mask.npy,day18,case63,120,0,False,144
case144/day14/slice_0055_mask.npy,day14,case144,55,0,False,144
case144/day14/slice_0124_mask.npy,day14,case144,124,0,False,144
case144/day14/slice_0123_mask.npy,day14,case144,123,0,False,144
case144/day14/slice_0057_mask.npy,day14,case144,57,0,False,144
case144/day14/slice_0122_mask.npy,day14,case144,122,0,False,144
case144/day14/slice_0058_mask.npy,day14,case144,58,0,False,144
case144/day14/slice_0056_mask.npy,day14,case144,56,0,False,144
case144/day15/slice_0049_mask.npy,day15,case144,49,0,False,144
case144/day15/slice_0047_mask.npy,day15,case144,47,0,False,144
case144/day15/slice_0048_mask.npy,day15,case144,48,0,False,144
case144/day15/slice_0120_mask.npy,day15,case144,120,0,False,144
case144/day0/slice_0053_mask.npy,day0,case144,53,0,False,144
case144/day0/slice_0051_mask.npy,day0,case144,51,0,False,144
case144/day0/slice_0123_mask.npy,day0,case144,123,0,False,144
case144/day0/slice_0121_mask.npy,day0,case144,121,0,False,144
case144/day0/slice_0052_mask.npy,day0,case144,52,0,False,144
case144/day0/slice_0122_mask.npy,day0,case144,122,0,False,144
case144/day0/slice_0054_mask.npy,day0,case144,54,0,False,144
case144/day0/slice_0120_mask.npy,day0,case144,120,0,False,144
case113/day12/slice_0044_mask.npy,day12,case113,44,0,False,144
case113/day19/slice_0048_mask.npy,day19,case113,48,0,False,144
case113/day22/slice_0043_mask.npy,day22,case113,43,0,False,144
case113/day0/slice_0049_mask.npy,day0,case113,49,0,False,144
case113/day0/slice_0048_mask.npy,day0,case113,48,0,False,144
case91/day0/slice_0048_mask.npy,day0,case91,48,0,False,144
case18/day19/slice_0123_mask.npy,day19,case18,123,0,False,144
case18/day19/slice_0121_mask.npy,day19,case18,121,0,False,144
case18/day19/slice_0060_mask.npy,day19,case18,60,0,False,144
case18/day19/slice_0120_mask.npy,day19,case18,120,0,False,144
case19/day14/slice_0036_mask.npy,day14,case19,36,0,False,144
case19/day0/slice_0121_mask.npy,day0,case19,121,0,False,144
case19/day0/slice_0120_mask.npy,day0,case19,120,0,False,144
case19/day18/slice_0035_mask.npy,day18,case19,35,0,False,144
case65/day25/slice_0127_mask.npy,day25,case65,127,0,False,144
case145/day20/slice_0120_mask.npy,day20,case145,120,0,False,144
case145/day0/slice_0120_mask.npy,day0,case145,120,0,False,144
case139/day0/slice_0121_mask.npy,day0,case139,121,0,False,144
case139/day0/slice_0122_mask.npy,day0,case139,122,0,False,144
case139/day0/slice_0120_mask.npy,day0,case139,120,0,False,144
case156/day10/slice_0092_mask.npy,day10,case156,92,0,True,144
case156/day10/slice_0110_mask.npy,day10,case156,110,0,True,144
case156/day10/slice_0102_mask.npy,day10,case156,102,0,True,144
case156/day10/slice_0117_mask.npy,day10,case156,117,0,True,144
case156/day10/slice_0106_mask.npy,day10,case156,106,0,True,144
case156/day10/slice_0132_mask.npy,day10,case156,132,0,True,144
case156/day10/slice_0130_mask.npy,day10,case156,130,0,True,144
case156/day10/slice_0108_mask.npy,day10,case156,108,0,True,144
case156/day10/slice_0101_mask.npy,day10,case156,101,0,True,144
case156/day10/slice_0107_mask.npy,day10,case156,107,0,True,144
case156/day10/slice_0094_mask.npy,day10,case156,94,0,True,144
case156/day10/slice_0120_mask.npy,day10,case156,120,0,True,144
case156/day10/slice_0114_mask.npy,day10,case156,114,0,True,144
case156/day0/slice_0067_mask.npy,day0,case156,67,0,True,144
case156/day0/slice_0092_mask.npy,day0,case156,92,0,True,144
case156/day0/slice_0065_mask.npy,day0,case156,65,0,True,144
case156/day0/slice_0073_mask.npy,day0,case156,73,0,True,144
case156/day0/slice_0069_mask.npy,day0,case156,69,0,True,144
case156/day0/slice_0086_mask.npy,day0,case156,86,0,True,144
case156/day0/slice_0106_mask.npy,day0,case156,106,0,True,144
case156/day0/slice_0077_mask.npy,day0,case156,77,0,True,144
